NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183680;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;56,64;0
183681;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;11,35;0
183682;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;27,7;0
183683;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;33,4;0
183684;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;419,13;0
183685;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;9,49;0
183686;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;81,65;0
183687;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;55,52;0
183688;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;76,65;0
183689;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;54,31;0
183690;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;17,55;0
183691;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;60,49;0
183692;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;34,85;0
183693;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;7,9;0
183694;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;57,83;0
183695;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;40,71;0
183696;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;18,98;0
183697;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;24,58;0
183698;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;11,28;0
183699;1;65;12/05/2025;5102;;CLIENTES DIVERSOS;;102;0
183700;1;65;13/05/2025;5102;;CLIENTES DIVERSOS;;22,33;0
183701;1;65;13/05/2025;5102;;CLIENTES DIVERSOS;;29,83;0
183702;1;65;13/05/2025;5102;;CLIENTES DIVERSOS;;71,95;0
